"","Albania","United Arab Emirates","Armenia","Developing Asia","Australia","Austria","Azerbaijan","Burundi","Belgium","Bangladesh","Bulgaria","Bahrain","Bosnia and Herzegovina","Belarus","Belize","Bolivia","Brazil","Brunei Darussalam","Botswana","Central African Republic","Canada","Switzerland","Chile","China","Cameroon","Congo, Rep.","Colombia","Comoros","Cabo Verde","Costa Rica","Cyprus","Czech Republic","Germany","Developing Countries","Djibouti","Dominica","Denmark","Dominican Republic","Algeria","East Asia & Pacific developing","Europe & Central Asia developing","Ecuador","Egypt, Arab Rep.","Spain","Estonia","Ethiopia","Finland","France","Gabon","United Kingdom","Georgia","Ghana","Guinea","Gambia, The","Equatorial Guinea","Greece","Guatemala","Guyana","High Income Countries","Hong Kong SAR, China","Honduras","Croatia","Haiti","Hungary","High income: OECD","Indonesia","India","Ireland","Iraq","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyz Republic","Korea, Rep.","Kuwait","Latin America & Caribbean developing","Lao, PDR","Lebanon","Libya","Low-Income Countries (LIC)","Sri Lanka","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Madagascar","Maldives","Mexico","Middle-Income Countries (MIC)","North Macedonia","Myanmar","Middle East & N. Africa developing","Mongolia","Mozambique","Mauritania","Mauritius","Malawi","Malaysia","Nigeria","Nicaragua","Netherlands","Norway","New Zealand","High Income: Non-OECD","Oman","Pakistan","Panama","Peru","Philippines","Poland","Portugal","Paraguay","Qatar","Romania","Russian Federation","Rwanda","South Asia developing","Saudi Arabia","Singapore","Sierra Leone","El Salvador","Sub-Saharan Africa developing","Suriname","Slovakia","Slovenia","Sweden","Seychelles","Syrian Arab Republic","Thailand","Tajikistan","Tonga","Trinidad and Tobago","Tunisia","Turkey","Taiwan, China","Tanzania, United Rep.","Uganda","Ukraine","Uruguay","United States","Uzbekistan","Venezuela, RB","Vietnam","World (WBG members)","Samoa","Yemen, Rep.","South Africa","Zambia"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1991","NA","NA","NA","0.281843","0.428725","0.197749","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.448177","NA","NA","NA","0.132959","0.491222","3.030553","0.692388","NA","NA","NA","NA","NA","NA","NA","NA","0.164964","NA","NA","NA","NA","0.242642","NA","0.285521","NA","NA","NA","0.915845","NA","NA","0.411733","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.361253","0.395593","0.355578","0.279135","NA","NA","NA","NA","NA","NA","0.286165","NA","NA","NA","0.168274","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.310388","0.202922","NA","NA","0.517039","0.349209","NA","NA","NA","NA","NA","0.378007","NA","NA","NA","NA","NA","NA","NA","0.238031","0.413202","0.838434","NA","NA","NA","NA","NA","NA","0.37271","NA","NA","0.484838","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.165116","NA","NA","NA","NA","NA","NA","NA","NA"
"1992","NA","NA","NA","0.271668","0.276992","0.225545","NA","NA","0.147529","NA","NA","NA","NA","NA","NA","NA","1.157106","NA","NA","NA","0.089886","0.59141","2.97252","0.261179","NA","NA","0.702866","NA","NA","NA","0.28006","NA","0.229838","NA","NA","NA","0.312142","0.238681","NA","0.267778","NA","NA","NA","0.573426","0.357571","NA","0.249503","71.45677","NA","36.5622","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.37184","0.332913","0.417738","0.408519","0.155263","NA","NA","NA","61.8342","NA","NA","0.290633","NA","NA","NA","0.209354","NA","0.427766","NA","NA","NA","NA","NA","0.129156","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.451633","0.043723","NA","188.6497","0.45798","0.333083","NA","NA","NA","NA","0.787776","0.368861","NA","1.095089","NA","NA","NA","NA","NA","0.303875","0.17916","0.907093","NA","NA","NA","NA","NA","0.260784","0.459979","NA","NA","0.520079","NA","NA","NA","NA","NA","NA","NA","NA","0.239488","NA","0.136983","NA","1.034802","NA","NA","NA","NA","0.058969","NA"
"1993","0.106298","NA","NA","0.354826","0.263404","0.310663","NA","NA","0.10136","NA","NA","NA","NA","NA","NA","NA","1.279969","NA","NA","NA","0.091427","0.478281","2.457197","0.221819","NA","NA","0.611591","NA","NA","NA","0.239518","0.312754","0.244791","0.344577","NA","NA","0.230219","0.269064","NA","0.345044","NA","NA","NA","0.580154","0.483198","NA","0.265062","49.85756","NA","45.03473","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.536881","0.343163","0.436181","0.620535","0.263868","NA","0.353006","NA","49.79775","NA","NA","0.392279","NA","NA","NA","0.240964","NA","0.468712","NA","NA","NA","NA","NA","0.215882","NA","NA","NA","NA","NA","NA","NA","0.347938","NA","NA","NA","NA","NA","NA","NA","NA","0.624481","0.048393","NA","214.2153","0.817981","0.346987","NA","NA","NA","NA","0.931005","0.338143","NA","0.728779","NA","NA","NA","NA","NA","0.435152","0.2672","0.908992","NA","NA","NA","NA","89.21123","0.21654","0.453955","NA","NA","0.549903","NA","NA","NA","NA","NA","NA","NA","NA","0.040161","NA","0.130131","NA","1.121548","NA","0.248818","NA","NA","0.03693","NA"
"1994","0.39128","NA","NA","0.47566","0.227936","0.317686","NA","NA","0.110908","NA","0.241753","NA","NA","NA","NA","NA","1.18531","NA","NA","NA","0.0811","0.518212","3.252854","0.461784","NA","NA","0.625836","NA","NA","0.218296","0.299335","0.417994","0.22145","0.440569","NA","NA","0.203196","0.083943","NA","0.455112","NA","NA","NA","0.474972","0.298569","NA","0.440003","57.78231","NA","58.11584","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.464662","0.343165","0.413428","0.872495","0.232092","NA","0.221846","NA","57.65367","NA","NA","0.442573","NA","NA","NA","0.249444","NA","0.460033","NA","NA","NA","NA","NA","0.18034","NA","NA","NA","NA","NA","NA","NA","0.444058","NA","NA","NA","NA","NA","NA","NA","NA","0.446117","0.424469","NA","226.6785","0.694627","0.313087","NA","NA","NA","NA","1.265551","0.336556","NA","0.606032","168.7079","NA","NA","0.129138","NA","0.633065","0.319384","0.826955","NA","NA","NA","NA","338.6525","0.317996","0.457562","NA","NA","0.556004","NA","NA","NA","0.225662","NA","NA","NA","NA","0.061637","NA","0.115599","NA","1.388556","NA","0.261373","NA","NA","0.040847","NA"
"1995","0.321049","NA","NA","0.459609","0.208568","0.30253","NA","NA","0.108518","NA","0.263897","NA","NA","NA","NA","NA","1.03651","NA","NA","NA","0.090199","0.576696","2.547437","0.572624","NA","NA","0.591914","NA","NA","0.247772","0.24208","0.554586","0.205385","0.430224","NA","NA","0.250757","0.109013","NA","0.456455","0.334647","NA","NA","0.305294","0.25991","NA","0.353643","59.50162","NA","50.25398","0.421857","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.781694","0.340983","0.364378","0.635439","0.249186","NA","0.194251","NA","61.92331","NA","NA","0.542592","NA","NA","NA","0.24117","NA","0.487445","NA","NA","NA","NA","NA","0.146542","NA","NA","NA","NA","NA","NA","0.028391","0.430918","NA","NA","NA","NA","NA","NA","NA","NA","0.320355","0.04686","NA","224.834","0.684274","0.316492","NA","NA","NA","NA","1.0169","0.293679","NA","0.512782","120.8704","NA","0.826869","0.275691","NA","0.482523","0.319307","0.779261","NA","NA","NA","NA","511.504","0.303982","0.379152","NA","NA","0.523341","NA","NA","NA","0.205615","NA","NA","NA","NA","0.055124","NA","0.121758","NA","0.857822","NA","0.257703","NA","NA","0.052961","NA"
"1996","0.302511","NA","NA","0.550881","0.237223","0.355479","NA","NA","0.108316","NA","0.078577","NA","NA","NA","NA","NA","1.132223","NA","NA","NA","0.117618","0.58844","2.115241","0.766953","NA","NA","0.707527","NA","NA","0.214179","0.337181","0.447557","0.198563","0.490689","NA","NA","0.311662","0.091124","NA","0.556277","0.270461","NA","1.472863","0.48773","0.2304","NA","0.227105","55.64604","NA","42.46925","0.259585","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.535483","0.346358","0.449324","0.634617","0.223679","NA","0.243689","NA","78.23283","NA","NA","0.622752","0.458799","NA","NA","0.220264","NA","0.530942","NA","NA","NA","NA","NA","0.123155","NA","NA","NA","NA","NA","NA","0.02492","0.491013","NA","NA","NA","NA","NA","NA","NA","NA","0.359446","0.132459","NA","171.1009","0.746543","0.403854","NA","NA","NA","NA","1.225554","0.362854","NA","0.486175","97.23498","NA","0.616797","0.224685","NA","0.506988","0.531473","0.816735","NA","NA","NA","NA","413.6903","0.339727","0.290945","NA","NA","0.535455","NA","NA","NA","0.248975","NA","NA","NA","NA","0.117938","NA","0.09746","NA","1.718933","NA","0.271303","NA","NA","0.022405","NA"
"1997","0.633392","NA","NA","0.587535","0.274095","0.316162","NA","NA","0.106434","NA","0.430919","NA","NA","NA","NA","NA","0.881414","NA","NA","NA","0.089224","0.582118","2.159965","1.000907","NA","NA","0.99477","NA","NA","0.229542","0.310062","0.360191","0.18913","0.4939","NA","NA","0.43325","0.082306","NA","0.595628","0.294317","NA","1.541541","0.56604","0.224182","NA","0.277493","63.60148","NA","36.14521","0.201775","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.262196","NA","0.398225","0.329207","0.416255","0.659739","0.176039","NA","0.206459","NA","95.5221","NA","NA","0.651615","0.540117","NA","NA","0.140261","NA","0.45226","NA","NA","NA","NA","NA","0.144238","NA","NA","NA","NA","NA","NA","0.03144","0.494283","NA","NA","NA","NA","NA","NA","NA","NA","0.274835","0.186534","NA","161.1425","0.656175","0.306268","NA","NA","NA","NA","1.304083","0.244702","NA","0.478109","92.62989","NA","0.513323","0.248506","NA","0.531242","0.537883","0.899878","NA","0.390198","NA","NA","353.5536","0.46861","0.167981","NA","NA","0.424601","NA","NA","NA","0.254053","NA","NA","NA","NA","0.145415","NA","0.08202","NA","1.359269","NA","0.265182","NA","NA","0.063302","NA"
"1998","0.480173","NA","NA","0.749005","0.242538","0.342372","NA","NA","0.114827","NA","0.588962","NA","NA","NA","NA","NA","0.77125","NA","NA","NA","0.114381","0.60432","1.878174","1.062016","NA","NA","0.802043","NA","NA","0.159013","0.283498","0.443904","0.17088","0.516047","NA","NA","0.331727","0.088577","NA","0.783822","0.231088","NA","1.235594","0.413011","0.213568","NA","0.301986","85.65382","NA","33.27965","0.141925","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.327016","NA","0.363584","0.333475","0.85804","0.699389","0.212447","NA","0.186927","NA","51.90558","NA","NA","0.768846","0.461261","NA","NA","0.555553","NA","0.362916","NA","NA","NA","NA","NA","0.194903","NA","NA","NA","NA","NA","NA","0.024319","0.52393","NA","NA","NA","NA","NA","NA","NA","NA","0.448284","0.185691","NA","131.7992","0.509629","0.336671","NA","NA","NA","NA","1.211267","0.364776","0.605425","0.433746","121.987","NA","0.283473","0.210437","NA","0.561063","0.487161","1.215627","NA","0.444683","NA","NA","315.584","0.466095","0.209435","NA","NA","0.686602","NA","NA","NA","0.225809","NA","NA","NA","NA","0.055092","NA","0.093923","NA","1.036584","NA","0.274015","NA","NA","0.043615","NA"
"1999","0.44048","NA","NA","0.750355","0.326749","0.226099","NA","NA","0.06883","NA","0.579993","NA","NA","NA","NA","NA","0.738103","NA","NA","NA","0.128236","0.523067","1.883709","0.953492","NA","NA","0.669596","NA","NA","0.231336","0.365696","0.45811","0.140289","0.545229","NA","NA","0.503845","0.11169","NA","0.776228","0.289913","0.165745","0.982833","0.228453","0.258438","NA","0.262287","87.02149","NA","43.68351","0.196345","NA","NA","NA","NA","NA","NA","NA","0.200514","NA","NA","0.379465","NA","0.394003","0.315391","1.13453","0.743919","0.112916","NA","0.207955","NA","39.47376","NA","NA","0.92549","0.538222","NA","NA","0.618488","NA","0.315006","NA","NA","NA","NA","NA","0.21742","0.007415","NA","NA","NA","NA","NA","0.023047","0.55554","NA","NA","NA","NA","NA","NA","NA","NA","0.472469","0.598087","NA","60.11053","0.698784","0.312362","NA","NA","NA","NA","1.340898","0.489062","0.597564","0.221041","263.2612","NA","0.209234","0.335342","NA","0.605819","0.623968","1.149675","NA","0.481007","NA","NA","428.2231","0.392812","0.221987","NA","NA","0.692414","NA","NA","NA","0.269534","NA","NA","NA","NA","0.094442","NA","0.071524","NA","1.220437","NA","0.268328","NA","NA","0.059934","NA"
