"","United Arab Emirates","Argentina","Australia","Austria","Belgium","Bulgaria","Bahrain","Bosnia and Herzegovina","Brazil","Canada","Switzerland","Chile","China","Colombia","Czech Republic","Germany","Developing Countries","Denmark","Egypt, Arab Rep.","Spain","Estonia","Finland","France","United Kingdom","Greece","High Income Countries","Hong Kong SAR, China","Croatia","Hungary","Indonesia","India","Ireland","Iran, Islamic Rep.","Iceland","Israel","Italy","Jordan","Japan","Kazakhstan","Kenya","Korea, Rep.","Latin America & Caribbean developing","Lebanon","Sri Lanka","Lithuania","Luxembourg","Latvia","Morocco","Mexico","North Macedonia","Malta","Malawi","Malaysia","Nigeria","Netherlands","Norway","New Zealand","Oman","Pakistan","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russian Federation","Saudi Arabia","Singapore","Slovakia","Slovenia","Sweden","Thailand","Tunisia","Turkey","Taiwan, China","Uganda","Ukraine","United States","Venezuela, RB","Vietnam","South Africa"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","NA","NA","26.33793","46.8521","NA","NA","NA","NA","NA","26.54376","18.32409","NA","NA","NA","NA","NA","21.69953","NA","NA","19.51285","NA","NA","38.84823","43.48562","NA","42.04963","14.10967","NA","NA","NA","14.74591","NA","NA","NA","NA","NA","NA","173.4465","NA","NA","NA","5.894189","NA","27.13229","NA","NA","NA","NA","7.993249","NA","NA","NA","NA","NA","33.05218","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","37.38033","NA","NA","25.59248","NA","NA","39.92454","NA","NA","NA","25.58378","NA","NA","NA"
"1991","NA","NA","26.4685","37.10151","38.80189","NA","NA","NA","NA","27.01042","18.05025","NA","NA","NA","NA","NA","24.80372","NA","NA","19.07459","NA","NA","35.82093","46.87576","NA","42.81071","17.70525","NA","NA","NA","17.10402","NA","NA","NA","NA","NA","19.17328","154.3192","NA","NA","NA","9.688934","NA","42.92015","NA","NA","NA","NA","13.98176","NA","NA","NA","NA","NA","33.08247","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","40.39","NA","NA","23.16287","NA","NA","25.58874","NA","NA","NA","27.97504","NA","NA","NA"
"1992","NA","NA","26.02922","31.53752","42.51066","NA","NA","NA","NA","25.24417","20.88861","NA","NA","NA","NA","NA","31.94298","NA","NA","17.57946","NA","NA","38.78688","48.22304","NA","42.47059","25.63573","NA","NA","NA","28.04744","NA","NA","NA","NA","NA","20.66898","122.5662","NA","NA","NA","15.07359","NA","55.19868","NA","NA","NA","NA","21.35992","NA","NA","NA","NA","NA","36.39819","NA","NA","NA","NA","2.313489","NA","NA","30.78839","NA","NA","NA","NA","43.1153","NA","NA","20.55132","NA","NA","16.11448","NA","NA","NA","31.36492","NA","NA","NA"
"1993","NA","NA","27.63612","28.8443","42.50812","NA","NA","NA","NA","26.70466","25.39691","NA","NA","NA","26.44253","NA","38.0062","NA","NA","18.15269","NA","NA","38.8107","48.98706","NA","47.71633","34.78222","NA","9.276414","NA","21.82376","NA","NA","NA","NA","NA","27.84909","147.5632","NA","NA","NA","16.60838","NA","45.76963","NA","NA","NA","NA","23.53524","NA","NA","NA","NA","NA","37.83446","NA","NA","NA","NA","6.082968","NA","NA","35.30559","NA","NA","NA","NA","56.53355","NA","NA","19.96889","NA","NA","24.56057","NA","NA","NA","33.63554","NA","NA","NA"
"1994","NA","NA","34.00822","35.52493","48.62237","NA","NA","NA","12.24026","28.0257","31.34529","NA","NA","NA","42.71753","NA","52.91281","NA","NA","21.73362","NA","NA","41.52491","53.90027","NA","52.70219","44.76736","NA","13.33622","NA","34.47949","NA","NA","NA","NA","NA","27.97946","166.7728","NA","NA","NA","24.43878","NA","71.95754","NA","NA","NA","NA","29.79755","NA","NA","NA","NA","NA","46.81913","NA","NA","NA","NA","10.39156","NA","49.24192","43.85403","NA","NA","NA","23.38809","72.61138","NA","NA","25.75362","NA","NA","20.79721","93.06078","NA","NA","36.2304","NA","NA","NA"
"1995","NA","NA","33.9869","35.29171","52.61066","NA","NA","NA","10.99475","28.86615","37.946","NA","NA","NA","25.60448","NA","46.02609","29.63374","NA","22.51277","NA","26.93873","41.17721","58.12789","38.70853","56.98221","42.1633","NA","9.632691","74.61393","27.65948","61.17846","NA","NA","NA","NA","27.80707","157.7488","NA","NA","NA","18.61888","NA","48.30663","NA","NA","NA","NA","13.82296","NA","24.94237","NA","102.9494","NA","55.07517","NA","NA","NA","NA","10.94077","NA","37.76941","44.07571","NA","NA","35.17077","20.37168","72.96707","NA","NA","31.08572","235.6585","NA","24.71714","83.21106","NA","NA","42.91526","NA","NA","NA"
"1996","NA","23.91518","40.1","37.32716","62.57487","NA","NA","NA","15.102","34.27985","46.21229","NA","NA","NA","29.7115","39.65702","48.89241","32.19989","NA","26.72446","NA","27.92461","45.62223","66.25207","39.72202","65.71686","53.82249","NA","16.54737","89.1614","25.44385","74.20793","NA","NA","NA","NA","26.4964","165.5807","NA","NA","306.331","21.00516","NA","36.58825","NA","NA","NA","NA","16.74144","NA","23.9605","NA","118.0174","NA","67.92361","23.03616","NA","NA","NA","10.54254","176.2413","56.63711","49.01035","NA","NA","53.21031","21.61267","78.40222","NA","NA","40.30775","209.3541","NA","22.63481","85.58155","NA","NA","54.8444","NA","NA","NA"
"1997","NA","31.96844","42.72983","39.26318","72.09075","NA","NA","NA","24.86574","41.82613","56.70225","NA","NA","NA","26.19825","50.08838","50.56328","40.19254","NA","35.71044","NA","38.33494","51.57126","81.93109","54.78761","76.3635","62.64894","40.96602","29.61185","80.88636","27.90047","87.74681","46.61675","NA","27.9946","80.63166","29.21554","130.0952","NA","NA","286.1221","28.17183","NA","39.78505","NA","NA","NA","NA","22.29729","NA","22.57055","NA","95.6599","211.5466","88.69578","30.48164","NA","NA","NA","13.17443","138.272","57.88163","67.55691","NA","63.32965","132.3027","27.60642","65.00854","56.97089","NA","51.73423","93.50412","25.72753","35.30105","115.4566","NA","56.77023","71.06273","NA","NA","NA"
"1998","NA","23.74431","37.92748","39.90513","96.45048","NA","NA","NA","20.79932","41.09265","77.118","NA","NA","NA","21.09108","66.74161","34.71671","46.08975","NA","51.66365","NA","53.61928","66.44743","97.26319","80.05317","88.29574","44.17202","29.81801","28.09143","15.28214","21.65608","121.9038","45.82994","NA","26.9302","107.6177","30.69973","100.6068","NA","NA","120.4176","22.45459","NA","31.12518","NA","NA","NA","NA","19.03924","NA","23.49671","NA","34.84068","187.3098","115.0122","28.05336","NA","NA","NA","10.1948","67.39993","50.43012","106.1787","NA","38.0149","54.90778","26.85019","36.86618","38.6033","NA","58.65006","39.09179","24.775","34.31","91.31537","NA","25.04638","82.37348","NA","NA","NA"
"1999","NA","20.79165","43.27264","33.73018","95.5748","NA","113.1471","NA","15.82107","42.33465","75.03629","NA","NA","NA","20.35573","67.98137","38.35966","42.86839","NA","54.64112","NA","87.72763","77.50132","105.5433","153.442","104.6631","59.23153","23.04672","24.06014","25.12817","25.60264","122.6602","77.41779","NA","31.69117","117.8114","30.38579","126.8116","NA","NA","274.2676","20.9049","31.38685","25.46092","NA","68.47076","NA","NA","22.07536","NA","37.85398","NA","47.65315","37.96175","125.1918","26.51363","NA","53.12858","NA","9.12997","84.09812","43.47726","93.08214","17.12391","16.87137","7.584862","25.00721","55.04742","26.17307","NA","65.51059","50.58971","27.0769","35.49709","90.20352","NA","7.928107","99.93933","NA","NA","NA"
"2000","NA","21.45833","41.63047","28.07375","76.22327","15.20993","101.0072","NA","23.09659","58.41466","72.03045","NA","NA","NA","22.17138","78.71301","43.71059","50.00281","NA","53.40149","19.66694","146.7066","92.24469","103.2712","130.7515","113.4837","74.60434","24.6558","26.55564","21.87221","27.41437","112.9497","118.4326","NA","43.88901","127.9423","25.74667","136.1668","5.866441","NA","277.9738","25.60555","27.21125","21.19876","21.82948","80.11474","26.44346","NA","28.20418","NA","65.84873","NA","58.00769","42.78347","128.1269","30.93336","NA","45.11348","NA","8.146842","54.91231","52.75847","92.75568","16.10841","14.56247","13.50771","34.15793","58.70709","22.32381","NA","89.1968","39.20224","29.2784","63.47874","100.0078","NA","13.10554","102.518","NA","34.61077","NA"
"2001","NA","15.6","37.80406","27.92258","69.96057","13.33601","88.79888","NA","15.86677","44.97797","64.97289","NA","NA","6.891227","16.75315","60.08873","31.56985","46.18667","NA","43.86198","17.42818","81.59134","72.38201","86.33995","83.09095","90.76241","58.46543","27.50757","20.50718","14.06521","19.66309","117.4408","158.3047","NA","33.55969","98.9266","26.54571","85.19385","5.610376","NA","117.0038","21.66101","20.13774","16.23489","17.76133","51.45653","35.64091","NA","26.22498","NA","44.60421","NA","43.95293","59.8441","101.7532","28.37614","NA","37.55657","NA","6.815663","40.06294","38.12487","65.58553","18.47608","12.84071","13.07972","37.44849","44.99567","26.86384","NA","55.46058","31.01358","27.09761","23.86084","57.40929","NA","12.22603","97.30585","NA","77.20752","NA"
"2002","NA","17.03334","38.8739","30.06042","62.99667","21.52815","92.03303","NA","10.78907","40.21192","57.84039","NA","NA","8.357663","20.86339","46.72807","31.97653","40.05094","NA","39.22168","24.66976","66.0624","59.28222","74.45201","66.61714","75.43339","48.6263","35.3217","25.69131","17.22318","17.85193","100.8073","81.43429","NA","26.959","79.30472","31.60555","69.00947","5.759744","NA","111.1181","18.63981","18.2248","23.66116","19.84185","37.28372","42.55594","22.59535","27.16842","NA","35.61104","NA","48.92614","65.20742","81.98103","25.97688","NA","37.61836","NA","6.692437","35.59385","35.60361","51.96629","27.44816","21.3009","21.54266","41.63968","43.06437","32.39058","NA","44.74022","38.77151","24.5742","19.94833","59.77165","NA","13.02482","88.11217","NA","46.82833","26.17536"
