"","Albania","Argentina","Armenia","Developing Asia","Australia","Austria","Belgium","Bulgaria","Bahrain","Bosnia and Herzegovina","Belarus","Bolivia","Brazil","Botswana","Canada","Switzerland","Chile","China","Colombia","Costa Rica","Cyprus","Czech Republic","Germany","Developing Countries","Denmark","East Asia & Pacific developing","Europe & Central Asia developing","Ecuador","Spain","Estonia","Finland","France","United Kingdom","Georgia","Ghana","Greece","Guatemala","High Income Countries","Hong Kong SAR, China","Honduras","Croatia","Hungary","High income: OECD","Indonesia","India","Ireland","Iran, Islamic Rep.","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Korea, Rep.","Kuwait","Latin America & Caribbean developing","Low-Income Countries (LIC)","Sri Lanka","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Mexico","Middle-Income Countries (MIC)","North Macedonia","Malta","Middle East & N. Africa developing","Mongolia","Mauritius","Malaysia","Nigeria","Nicaragua","Netherlands","Norway","New Zealand","High Income: Non-OECD","Peru","Philippines","Poland","Portugal","Paraguay","Qatar","Romania","Russian Federation","South Asia developing","Saudi Arabia","Singapore","El Salvador","Serbia","Sub-Saharan Africa developing","Slovakia","Slovenia","Sweden","Thailand","Tunisia","Turkey","Taiwan, China","Ukraine","Uruguay","United States","Uzbekistan","Vietnam","World (WBG members)","South Africa"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","NA","NA","NA","NA","323674","NA","215972.2","NA","NA","NA","NA","NA","NA","NA","596021","259188.1","NA","NA","NA","NA","NA","NA","1759653","NA","138568.2","NA","NA","NA","425152.9","NA","118165.4","1369596","1192995","NA","NA","NA","NA","19036489","76847.01","NA","NA","NA","18226606","NA","NA","NA","NA","NA","57578.58","945746.7","NA","NA","3145428","NA","NA","278173.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","291071.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","343810.6","120022","45823.9","NA","NA","NA","NA","67159.27","NA","NA","NA","NA","NA","NA","38938.69","4813.112","NA","NA","NA","NA","256234.2","NA","NA","201529.1","166660.5","NA","NA","5963200","NA","NA","22094274","115594.4"
"1991","NA","NA","NA","NA","323901.3","NA","219723","NA","NA","NA","NA","NA","NA","NA","612314","261865","NA","NA","NA","NA","NA","NA","2001078","NA","139609.5","NA","NA","NA","452311","NA","109857.3","1378964","1244218","NA","NA","NA","NA","20275950","88856.2","NA","NA","NA","19391500","40627.64","NA","NA","NA","NA","65468.07","1004008","NA","NA","3590619","NA","NA","324176.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","352034.9","NA","NA","NA","NA","NA","NA","52718.46","NA","NA","352798.9","121928.2","43563.17","NA","NA","13767.27","NA","74763.86","NA","NA","NA","NA","NA","NA","45471.47","5249.119","NA","NA","NA","NA","269158.9","NA","NA","218258.5","187620.3","NA","NA","6158100","NA","NA","23588536","124069.3"
"1992","NA","NA","NA","NA","317375.4","NA","241435.3","NA","NA","NA","NA","NA","NA","NA","594593.1","272093.2","NA","488521.8","NA","NA","NA","NA","2241876","NA","153106.3","NA","NA","NA","510949.1","NA","112289.3","1496190","1283450","NA","NA","NA","NA","21780922","104169","NA","NA","NA","20795969","168056.4","NA","NA","NA","NA","72494.13","1105843","NA","5407.734","3909207","NA","NA","349043.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","408399.3","NA","NA","NA","NA","NA","NA","63519.43","NA","NA","385070.3","130904.8","41594.95","NA","NA","59470.24","NA","88444.24","NA","NA","NA","NA","NA","NA","52106.36","5810.547","NA","NA","NA","NA","279959.5","NA","NA","228268.1","223267.7","NA","NA","6520400","NA","NA","25578404","134493.4"
"1993","NA","264530.4","NA","1279731","308462.4","NA","224395.1","NA","NA","NA","NA","4328.65","NA","NA","579058.9","264202.2","NA","611084.8","NA","NA","NA","NA","2080800","NA","143298.1","1069284","NA","NA","475616.8","NA","102166.5","1360939","1151618","NA","NA","NA","NA","22039458","120214.8","NA","NA","NA","21009617","190825.2","NA","NA","722116.5","NA","72773.75","1025103","NA","5691.817","4463778","NA","NA","386303.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","501099.5","NA","NA","NA","NA","NA","NA","71806.31","NA","NA","356562.8","120325.6","44872.59","NA","NA","60408.41","NA","83952.24","NA","NA","NA","115810.6","NA","NA","60610.1","6678.989","NA","NA","NA","NA","210152.5","128927.1","NA","259326.6","235320","NA","NA","6858500","NA","NA","26184424","134231.9"
"1994","NA","288033.5","NA","1291752","352797","NA","239376.4","NA","NA","NA","NA","5983.877","511777.4","4230.936","579795.7","293538.2","NA","561110.1","NA","10493.16","NA","NA","2204321","3460201","156695.6","1079328","590102.4","NA","511823.5","NA","109452.1","1420752","1236053","NA","NA","NA","NA","23700876","135690.8","NA","NA","NA","22570347","213744.3","NA","NA","77414.66","NA","82899.26","1098094","NA","6293.735","4913557","4239.331","NA","456937.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","526585.8","3460201","NA","NA","116092.8","NA","NA","80061.29","NA","NA","379204","127587.5","52919.23","NA","NA","71472.82","NA","92374.76","7997.22","NA","NA","291926.2","NA","NA","73875.92","7674.948","NA","NA","NA","NA","226476.3","146648.6","NA","187472.6","256677.2","NA","NA","7287200","NA","NA","27379474","139868.3"
"1995","NA","288479.2","NA","1591362","377936.2","233056.8","280567.4","14601.34","NA","NA","NA","6704.88","785765.6","4674.035","606215.7","343370.5","NA","730549.7","NA","11489.81","10181.26","59941.83","2518565","4051350","185139.1","1329668","723593.7","NA","609077.8","3684.764","130695","1615654","1336286","NA","NA","123254.6","NA","26157743","144553.5","NA","NA","46326.38","24943101","244750.7","NA","72715.62","77885.52","NA","100307.3","1308362","NA","6807.329","5471338","17018.62","NA","558266.9","NA","1371369","NA","NA","10300.83","20915.27","5380.139","NA","NA","360565.2","4051350","NA","NA","117458.1","NA","NA","95273.38","NA","NA","437053.8","152179.8","62221.54","NA","NA","82141.81","141820.2","118059.4","9481.28","NA","37309.95","331454.8","NA","NA","87890.93","8918.814","NA","NA","26093.44","13993.53","264724.5","169202.9","NA","244572","279560.7","NA","NA","7639900","NA","NA","30424166","155493"
"1996","NA","304161.7","NA","1829857","423722.2","234601.8","278846.9","10093.47","NA","NA","NA","7384.934","849511.9","4780.092","630631.3","330461.1","78019.89","860300.8","NA","11599.63","10303.82","66944.53","2488873","4532896","187709.2","1528944","823127.7","NA","630119.9","4703.647","131779.3","1617186","1412070","3068.993","NA","132778.4","NA","26331776","159496.8","NA","NA","46703.94","25058994","276636.4","290308.2","77746.14","86126.03","NA","110026.3","1346695","7456.47","6992.304","4836113","20136.24","NA","600305.3","NA","1505157","NA","NA","12529.43","21591.58","6000.371","NA","NA","410400.2","4532896","NA","NA","129143.2","NA","NA","108306.4","NA","NA","444961.2","163038.2","69106.7","1349891","NA","91821.34","158986.4","121829.1","9846.777","NA","36296","417738.2","NA","NA","96424.08","9586.192","NA","NA","28322.39","15649.59","288517.3","182968","NA","249409.8","292815.1","NA","NA","8073200","NA","NA","31025115","148218.1"
"1997","NA","327324.5","NA","2023003","424834.2","213100","255645.4","9999.202","NA","NA","NA","7928.318","883879.9","4958.261","654865.2","286796.5","84912.97","959656.3","NA","12512.4","9472.936","61986.83","2228762","4947072","173656.6","1598324","858625.2","NA","586101.4","5072.786","125245.7","1462937","1555323","3504.326","NA","129555.2","NA","25863185","177253.2","NA","NA","47215.78","24540921","271646.9","412418.4","78426.88","105390.5","7594.893","114807.2","1234145","8439.535","7328.271","4416420","21274.15","NA","564279.5","NA","1652065","NA","NA","13252.38","19797.87","6107.398","NA","NA","500235.6","4947072","NA","NA","156326.4","NA","NA","108793","NA","NA","417758.4","161271.4","68790.32","1436267","NA","91926.04","159985.9","115790","10018.95","NA","35065.4","432453.6","427125","NA","100243.9","10220.61","NA","NA","27584.23","15629.39","265028.3","156985.9","NA","266218.2","304496.7","NA","24061.33","8577600","NA","NA","30935274","152661.7"
"1998","NA","334207.9","NA","1844521","380368.1","218153.4","261269.3","13241.08","NA","NA","NA","8490.133","865187.1","4713.614","634533.2","295162.5","81606.8","1027463","NA","13608.02","10099.91","66728.23","2246529","4668826","177239.9","1417017","762620.8","NA","617611","5626.312","134185.7","1507007","1642715","3616.916","NA","139505.4","NA","26001632","169037.7","NA","NA","48652.29","24712670","116556.3","416090.3","89569.12","119492.1","8497.034","116220.2","1264370","8873.074","7993.623","4052542","21206.93","NA","377561.8","NA","1663994","NA","NA","14507.16","20265.31","6721.634","40134.24","NA","527150.5","4668826","NA","NA","176806.3","NA","NA","77673.45","NA","NA","439654.4","154070.3","56753.89","1383678","NA","72420.9","175359","124168.3","9341.502","NA","41484.72","330380.2","430927.7","NA","85923.59","10933.45","NA","NA","29684.68","17045.58","267215.6","114644.3","NA","272656","281101.5","NA","25381.98","9062800","NA","NA","30816502","138687"
