"","Angola","Albania","United Arab Emirates","Armenia","Developing Asia","Antigua and Barbuda","Australia","Austria","Azerbaijan","Burundi","Belgium","Bangladesh","Bulgaria","Bahrain","Bahamas, The","Bosnia and Herzegovina","Belarus","Belize","Bolivia","Brazil","Brunei Darussalam","Bhutan","Botswana","Central African Republic","Canada","Switzerland","Chile","China","Cameroon","Congo, Dem. Rep.","Congo, Rep.","Colombia","Comoros","Cabo Verde","Costa Rica","Cyprus","Czech Republic","Germany","Developing Countries","Djibouti","Dominica","Denmark","Dominican Republic","Algeria","East Asia & Pacific developing","Europe & Central Asia developing","Ecuador","Egypt, Arab Rep.","Eritrea","Spain","Estonia","Ethiopia","Finland","Fiji","France","Micronesia, Fed. Sts.","Gabon","United Kingdom","Georgia","Ghana","Guinea","Gambia, The","Equatorial Guinea","Greece","Grenada","Guatemala","Guyana","High Income Countries","Hong Kong SAR, China","Honduras","Croatia","Haiti","Hungary","High income: OECD","Indonesia","India","Ireland","Iraq","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyz Republic","Cambodia","St. Kitts and Nevis","Korea, Rep.","Kuwait","Latin America & Caribbean developing","Lao, PDR","Lebanon","Liberia","Libya","St. Lucia","Low-Income Countries (LIC)","Sri Lanka","Lesotho","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Madagascar","Maldives","Mexico","Middle-Income Countries (MIC)","North Macedonia","Malta","Myanmar","Middle East & N. Africa developing","Mongolia","Mozambique","Mauritania","Mauritius","Malawi","Malaysia","Namibia","Nigeria","Nicaragua","Netherlands","Norway","Nepal","New Zealand","High Income: Non-OECD","Oman","Pakistan","Panama","Peru","Philippines","Papua New Guinea","Poland","Portugal","Paraguay","West Bank and Gaza","Qatar","Romania","Russian Federation","Rwanda","South Asia developing","Saudi Arabia","Sudan","Singapore","Solomon Islands","Sierra Leone","El Salvador","San Marino","Serbia","South Sudan","Sub-Saharan Africa developing","Sao Tome and Principe","Suriname","Slovakia","Slovenia","Sweden","Eswatini","Seychelles","Syrian Arab Republic","Chad","Thailand","Tajikistan","Turkmenistan","Timor-Leste","Tonga","Trinidad and Tobago","Tunisia","Turkey","Taiwan, China","Tanzania, United Rep.","Uganda","Ukraine","Uruguay","United States","Uzbekistan","St. Vincent and the Grenadines","Venezuela, RB","Vietnam","Vanuatu","World (WBG members)","Samoa","Yemen, Rep.","South Africa","Zambia","Zimbabwe"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","NA","NA","NA","NA","71926.92","NA","16369.89","9759.138","NA","NA","12588.15","NA","NA","NA","NA","NA","NA","NA","NA","9973","NA","NA","NA","NA","17894.17","32804.88","21276.73","29697.81","NA","NA","NA","4595","NA","NA","NA","1524.143","NA","73916.43","149411.2","NA","NA","10647.95","180.2","NA","65565.2","NA","NA","NA","NA","52427.12","NA","NA","9731.121","NA","40977.57","NA","NA","36632.16","NA","NA","NA","NA","NA","3453.263","NA","NA","NA","733986.9","NA","NA","NA","NA","1072.853","712125.9","8520","5156","5231.027","NA","439.0151","NA","73459.44","NA","NA","76144.78","NA","NA","NA","NA","NA","14822.4","NA","26507.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","147068.8","NA","1432.028","NA","NA","NA","NA","NA","NA","NA","10184.88","NA","4541.45","NA","20189.11","15368.97","NA","4129","62814.42","NA","NA","NA","NA","2048.35","NA","NA","16037.96","NA","NA","NA","NA","NA","NA","5902.183","11750.35","NA","48107.9","NA","NA","NA","NA","NA","NA","14209.1","NA","NA","NA","NA","18328.23","NA","NA","NA","NA","13823.61","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","87471.12","NA","NA","11759","NA","NA","1092246","NA","NA","954.7425","NA","NA"
"1991","NA","NA","NA","NA","98915.61","NA","16641.63","10754.2","NA","NA","12618.19","NA","NA","NA","NA","NA","NA","NA","NA","9406","NA","NA","NA","NA","16296.92","32559.03","22555.96","43839.05","NA","NA","NA","6499.9","NA","NA","855.7","1406.108","NA","68581.33","NA","NA","NA","7443.837","500.1","NA","89952.24","NA","NA","NA","NA","67362.73","NA","NA","7677.355","NA","34856.23","NA","NA","42802.4","NA","NA","NA","NA","NA","5251.497","NA","NA","NA","NA","NA","NA","NA","NA","3948.181","692976.3","10250","7301","5748.821","NA","452.5047","NA","56826.67","NA","NA","68033.05","NA","NA","NA","NA","NA","13733","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1333.513","NA","NA","NA","NA","NA","NA","NA","11366.88","NA","4149.3","NA","20551.69","13263.65","NA","2950","NA","NA","NA","NA","NA","4525.95","NA","NA","22840.67","NA","NA","NA","NA","NA","NA","8357.609","11754.46","NA","55417.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","112.8156","18677.72","NA","NA","NA","NA","18199.79","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","80696.94","NA","NA","14105","NA","NA","NA","NA","NA","1074.678","NA","NA"
"1992","NA","NA","NA","NA","88529.9","NA","11280.28","12889.01","NA","NA","14297.51","NA","NA","NA","NA","NA","NA","NA","NA","23754","NA","NA","NA","NA","11462.64","37331.08","27552.91","20697.92","NA","NA","NA","7728","NA","NA","969.4","1039.662","NA","99024.42","NA","NA","NA","11102.57","580.8","NA","78109.88","NA","NA","NA","NA","46569.13","176.7059","NA","5260.442","NA","30114.25","NA","NA","37437.28","NA","NA","NA","NA","NA","4851.429","NA","NA","NA","NA","NA","NA","162.5726","NA","4440.951","671566.3","11395","8885","3445.287","NA","501.6309","NA","32269.76","-85.64","NA","67784.08","NA","NA","NA","NA","NA","17153.9","NA","55608.17","NA","NA","NA","NA","NA","NA","NA","NA","107.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","1268.502","NA","NA","NA","NA","NA","NA","NA","17989.04","NA","1554.61","NA","25331.07","11968.96","NA","3079","NA","NA","NA","NA","3155","5337.88","NA","NA","21179.85","NA","NA","NA","NA","4532","NA","10170.85","5869.527","NA","65329.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","719.8505","23051.92","NA","NA","NA","NA","21152.57","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","498.4659","NA","72955.55","NA","NA","13001","NA","NA","NA","NA","NA","989.7752","NA","NA"
"1993","NA","150.4163","NA","NA","112391.8","NA","11173.59","15207.02","NA","NA","11825.67","NA","714.0299","NA","NA","NA","NA","NA","NA","32211","NA","NA","NA","NA","12515.21","36635.09","25082.13","22471.6","NA","NA","NA","7932.4","NA","NA","957.1","1109.249","3872","84516.98","245853.1","NA","NA","10355.8","736","NA","96540.4","NA","NA","NA","NA","42005.76","400.9265","NA","5459.623","NA","25235.22","NA","NA","37576.24","NA","NA","NA","NA","NA","7884.28","NA","NA","NA","NA","NA","NA","600.6289","NA","6724.151","698513.8","12355","13851","5934.106","NA","429.2502","NA","32155.36","12.51","NA","94795.71","711","NA","NA","NA","NA","20262.4","NA","66102.33","NA","NA","NA","NA","NA","NA","NA","NA","412.3","NA","NA","NA","NA","NA","NA","NA","241998.7","NA","1362.617","NA","NA","NA","NA","NA","NA","NA","28452.71","NA","1429.59","NA","36193.52","19669.33","NA","3338","NA","NA","NA","NA","3864","5922.04","NA","NA","17538.23","NA","NA","NA","NA","8894","NA","15855.53","7403.164","NA","77379.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","560.8227","792.5458","19410.32","NA","NA","NA","NA","25438.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","171.8261","NA","75524.31","NA","NA","12656","NA","NA","1195909","NA","NA","792.6544","NA","NA"
"1994","NA","208.9909","NA","NA","159226.2","NA","11357.77","17509.41","NA","NA","14375.21","NA","1091.817","NA","NA","NA","NA","NA","NA","38806","NA","NA","NA","NA","12319.17","38985.75","35319.78","53113.96","NA","NA","NA","8103.6","NA","NA","828.1","1481.258","6243","84215.44","328667.1","NA","NA","9104.457","384.6","NA","132897","23036.89","NA","NA","NA","42518.49","460.3511","NA","10758.21","NA","29255.21","NA","NA","41904.3","NA","NA","NA","NA","NA","14662.68","NA","NA","NA","NA","NA","NA","1369.464","NA","6759.277","791633.2","13200","23419","6124.398","NA","294.8579","NA","37665.37","397.92","NA","122084.4","1215","NA","NA","NA","NA","25672.7","NA","75831.79","NA","NA","NA","NA","NA","NA","NA","NA","587.2","NA","NA","NA","NA","NA","NA","NA","323514.4","NA","1849.895","NA","NA","NA","NA","NA","NA","NA","26546.05","NA","9009.11","NA","39874.76","19071","NA","3709","NA","NA","NA","NA","6933","7142.1","NA","NA","17176.18","569.2","NA","NA","NA","6506","NA","26808.23","7337.422","NA","84732","NA","NA","NA","NA","NA","NA","NA","NA","NA","2242.253","1503.365","23693.83","NA","NA","NA","NA","30279","NA","NA","NA","NA","NA","1472.623","NA","NA","NA","NA","691.8767","NA","76607.74","NA","NA","11507","NA","NA","1398882","NA","NA","879.2921","NA","NA"
"1995","NA","246.0337","NA","NA","188697.4","NA","11972.72","19495.38","NA","NA","16758.99","NA","1347.552","NA","NA","NA","NA","NA","NA","51840","NA","NA","NA","NA","15090.13","40876.16","37219.75","75661.85","NA","NA","NA","8453.2","NA","NA","1011.6","1129.68","14023","92534.33","391325.3","NA","NA","11074.52","528.5","NA","163299.8","51156.82","NA","NA","NA","35292.21","602.1477","NA","10128.88","NA","29919.26","NA","NA","42929.09","196.19","NA","NA","NA","NA","14958.3","NA","NA","NA","NA","NA","NA","1847.279","NA","12017.16","921179","14787","22063","8643.263","NA","310.1595","NA","40747.24","421.31","NA","182272.8","1653","NA","NA","NA","NA","32712.1","NA","90248.48","NA","NA","NA","NA","NA","NA","NA","NA","819","NA","NA","NA","NA","NA","NA","2054.961","385190.2","NA","1604.756","NA","NA","NA","NA","NA","NA","NA","24824.21","NA","1611.11","NA","38930.2","22571.66","NA","4411","NA","NA","NA","NA","7854","7785.75","NA","NA","17549.31","536.1","NA","NA","7862.987","17207","NA","25255.98","8611.173","NA","96836.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","4480.402","1888.878","24505.91","NA","NA","NA","NA","37026.7","NA","NA","NA","NA","NA","1625.388","NA","NA","NA","NA","1117.083","NA","90526.52","NA","NA","9723","NA","NA","1633058","NA","NA","1174.525","NA","NA"
"1996","NA","286.6482","NA","NA","237787","NA","14578.41","23799.35","NA","NA","17562.91","NA","527.0215","NA","NA","NA","NA","NA","NA","60110","NA","NA","NA","NA","20478.21","43143.75","37404.43","107443.5","NA","NA","NA","9938.8","NA","NA","926.4","1559.543","12435","90545.51","474375.2","NA","NA","14215.91","512","NA","209549.1","46581.3","NA","19277.75","NA","59282.92","661.24","NA","6978.708","NA","29855.76","NA","NA","40763.02","190.85","NA","NA","NA","NA","17712.53","NA","NA","NA","NA","NA","NA","2255.529","NA","9755.037","987303.7","19281","24110","8217.61","NA","456.7327","NA","53638.57","692.61","NA","217498.6","1961","NA","NA","NA","NA","33236.7","NA","109146.9","NA","NA","NA","NA","NA","NA","NA","NA","834.3","NA","NA","NA","NA","NA","NA","2225.112","466938.1","NA","1620.058","NA","NA","NA","NA","NA","NA","NA","28202.11","NA","3403.91","NA","30908.37","26580.12","NA","5953","NA","NA","NA","NA","9633","11773.37","NA","NA","17624.6","415.4","NA","NA","6606.173","15324","NA","27599.23","14473.51","NA","107235.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","4593.779","2338.022","19468.4","NA","NA","NA","NA","38724.5","NA","NA","NA","NA","NA","1915.093","NA","NA","NA","NA","2084.03","NA","77524.12","NA","NA","15229","NA","NA","1815295","NA","NA","470.1466","NA","NA"
"1997","NA","315.2211","NA","NA","254353.5","NA","16953.63","20542.48","NA","NA","16772.46","NA","2301.252","NA","NA","NA","NA","NA","1189.6","52173","NA","NA","NA","NA","17871.41","43811.68","41678.76","143301.5","NA","NA","NA","9908","NA","NA","1141.2","1407.524","9774","84459.28","502819.8","NA","NA","19226.32","555.5","NA","222551.5","53011.25","NA","20375.05","NA","69999.02","786.7762","NA","8492.545","NA","34458.46","NA","NA","33019.31","200.45","NA","NA","NA","NA","12746.74","NA","NA","NA","NA","NA","NA","2474.898","NA","8438.308","964641.5","17396","27355","6536.029","NA","386.2648","NA","65068.34","540.5","NA","220510.3","2291","NA","NA","NA","NA","20405.5","NA","106296","NA","NA","NA","NA","NA","NA","NA","NA","1062.7","NA","NA","NA","NA","NA","NA","3443.262","494936.7","NA","1487.837","NA","NA","NA","NA","NA","NA","NA","21706.3","NA","7222.22","NA","28712.09","23456.27","NA","4452","NA","NA","NA","NA","11119","8799.46","NA","NA","17338.94","380.2","NA","NA","5322.754","17784","NA","31313.85","15058","NA","118938.8","NA","NA","1462.1","NA","NA","NA","NA","NA","NA","4151.565","3311.328","11029.75","NA","NA","NA","NA","26967.7","NA","NA","NA","NA","NA","2018.172","NA","NA","NA","NA","2489.246","NA","71309.21","NA","NA","17818","NA","NA","1832614","NA","NA","1200.82","NA","NA"
"1998","NA","392.0824","NA","NA","279601","NA","14731.39","23348.65","NA","NA","18929.36","NA","2925.936","NA","NA","NA","NA","NA","1192.8","44556","NA","NA","NA","NA","23371.2","46239.8","34525.59","149751.8","NA","NA","NA","8740.5","NA","NA","991.6","1395.487","12617","80580.69","504505.1","NA","NA","15345.71","658.9","NA","244656.9","37157.82","NA","19951.85","NA","56551.45","841.684","NA","9781.976","NA","49371.86","NA","NA","32912.03","127.79","NA","NA","NA","NA","17669.01","NA","NA","NA","NA","NA","NA","2744.514","NA","9341","981604.2","23516","30056","9411.442","NA","429.2502","NA","34890.52","582","NA","215598.1","1964","NA","NA","NA","NA","52040.8","NA","92550.81","NA","NA","NA","NA","NA","NA","NA","NA","1460","NA","NA","NA","NA","NA","NA","3044.658","496595.5","NA","1662.965","NA","NA","NA","NA","NA","NA","NA","26196","NA","7107.5","NA","24731.78","19093.66","NA","4202","NA","NA","NA","NA","9982","10841.54","NA","28275.1","17521.63","471.4","NA","NA","3079.391","12223","NA","34405.74","14374.9","NA","123823.4","NA","NA","1765.3","NA","NA","NA","NA","NA","NA","4116.899","3638.452","14364.65","NA","NA","NA","NA","29535.9","NA","NA","NA","NA","NA","1894.089","NA","NA","NA","NA","809.4755","NA","85603.26","NA","NA","14849","NA","NA","1860797","NA","NA","933.3785","NA","NA"
